temperature_k,label,seed,phi
285.00,filtered,1000,8.3228318465e-01
285.00,broadband,2000,7.2328446471e-01
290.00,filtered,1000,8.3226863336e-01
290.00,broadband,2000,7.2326232644e-01
295.00,broadband,2000,7.2323915861e-01
295.00,filtered,1000,8.3225340734e-01
300.00,broadband,2000,7.2321505428e-01
300.00,filtered,1000,8.3223756782e-01
305.00,filtered,1000,8.3222116944e-01
305.00,broadband,2000,7.2319009680e-01
310.00,filtered,1000,8.3220426139e-01
310.00,broadband,2000,7.2316436113e-01
