time_fs,pop_1,pop_2,pop_3,coherence
2.805611222444889563e+01,8.576596238469784694e-01,9.344146669412098025e-03,1.329962294836101178e-01,9.250195868894081075e-01
2.905811623246492559e+01,8.310140629871101137e-01,1.600232268030978289e-01,8.962710209792642060e-03,9.776806777882781629e-01
3.006012024048095910e+01,4.618557165611206217e-01,3.807708398522292037e-01,1.573734435866506187e-01,1.867499279672700130e+00
3.106212424849698905e+01,2.933537797431612915e-01,2.232238560541493499e-01,4.834223642026897472e-01,1.921955950666190738e+00
3.206412825651302256e+01,4.437227938096819368e-01,2.021699725203055797e-01,3.541072336700130663e-01,1.926930604702397742e+00
3.306613226452905252e+01,8.497588973586567285e-01,7.015353716004588125e-02,8.008756548129798702e-02,1.159977749349804466e+00
3.406813627254508958e+01,9.501072515417561259e-01,4.951724974906048654e-02,3.754987091839888662e-04,4.802054876712551490e-01
3.507014028056111954e+01,5.466446342038792094e-01,2.880588400813174910e-01,1.652965257148038825e-01,1.831250743230873335e+00
3.607214428857714950e+01,2.663952568829782153e-01,2.362632453776130348e-01,4.973414977394090553e-01,1.915312183431550519e+00
3.707414829659317945e+01,3.535662759323494608e-01,2.766683194072920293e-01,3.697654046603587874e-01,1.988370768437605074e+00
3.807615230460921651e+01,7.631272587557780263e-01,1.864726438350742810e-01,5.040009740914826869e-02,1.340581762205572680e+00
3.907815631262524647e+01,9.864642733157384935e-01,7.238686179914422154e-04,1.281185806627083493e-02,2.843765138296975303e-01
4.008016032064127643e+01,6.508627697415212410e-01,1.705903823563791888e-01,1.785468479021001531e-01,1.697262913443882359e+00
4.108216432865731349e+01,3.255938804864558223e-01,1.987546987792980224e-01,4.756514207342467104e-01,1.910785197216941622e+00
4.208416833667334345e+01,3.266947479441683067e-01,3.059675465805982708e-01,3.673377054752337556e-01,1.995666613180463678e+00
4.308617234468937340e+01,6.405996896560430809e-01,3.207257589039511081e-01,3.867455144000641470e-02,1.444093645887201793e+00
4.408817635270540336e+01,9.234669071948821140e-01,2.880361865060732454e-02,4.772947415451112702e-02,8.202297562553308996e-01
4.509018036072144042e+01,7.204167041853019038e-01,7.136704498125635843e-02,2.082162508334423900e-01,1.471897575967068050e+00
4.609218436873747038e+01,4.415061540178975008e-01,1.302022296283332214e-01,4.282916163537696663e-01,1.821508597825641118e+00
4.709418837675350034e+01,3.872849884616909599e-01,2.745670726541538098e-01,3.381479388841556188e-01,1.985357209615246976e+00
4.809619238476953740e+01,5.386894597907857518e-01,4.260880938233054249e-01,3.522244638590926041e-02,1.478689227416987606e+00
4.909819639278556735e+01,7.814465471293426946e-01,1.196676460300432204e-01,9.888580684061454296e-02,1.385127832369572154e+00
5.010020040080159731e+01,7.167769260107960116e-01,2.327089299025498353e-02,2.599521809989496779e-01,1.277171099360879358e+00
5.110220440881762727e+01,5.635144498818562830e-01,6.493152622476244806e-02,3.715540238933816575e-01,1.608370228533687829e+00
5.210420841683366433e+01,5.246613842922119852e-01,1.927133223969091924e-01,2.826252933108792664e-01,1.872860694727319864e+00
5.310621242484969429e+01,5.045868403865085838e-01,4.644689300727775638e-01,3.094422954071405357e-02,1.457909221784309262e+00
5.410821643286572424e+01,6.095859295128472910e-01,2.359581045808848421e-01,1.544559659062683388e-01,1.754019552993977715e+00
5.511022044088175420e+01,6.328907860296301147e-01,3.655826928296952716e-02,3.305509446874010937e-01,1.438850988483423077e+00
5.611222444889779126e+01,6.409962507933304465e-01,3.686353006178375719e-02,3.221402191448862751e-01,1.434208961075168931e+00
5.711422845691382122e+01,6.966526700609572131e-01,9.323462437298608851e-02,2.101127055660571841e-01,1.554822444826723160e+00
5.811623246492985118e+01,5.568491216071651539e-01,4.214238177642413707e-01,2.172706062859390205e-02,1.380219182577985704e+00
5.911823647294588824e+01,4.663962868023403541e-01,3.319728344506135964e-01,2.016308787470464103e-01,1.917729393260326765e+00
6.012024048096191819e+01,4.960759041416732962e-01,9.594832363295442701e-02,4.079757722253727903e-01,1.731786305471245679e+00
6.112224448897794815e+01,6.443940137554614589e-01,6.439251405138314566e-02,2.912134721931559089e-01,1.547664007949898668e+00
6.212424849699397811e+01,8.459000188018225286e-01,1.881804560474121049e-02,1.352819355934369583e-01,1.029810095150732741e+00
6.312625250501001517e+01,6.776204742789256885e-01,3.120223159775429300e-01,1.035720974353191402e-02,1.200882078583147994e+00
6.412825651302604513e+01,3.966752858554805083e-01,3.715263179907669078e-01,2.317983961537529169e-01,1.961172177020555241e+00
6.513026052104207508e+01,3.567821070008646567e-01,1.682742420097362857e-01,4.749436509893993907e-01,1.878744722743110662e+00
6.613226452905810504e+01,5.775058286947035713e-01,1.417720269449712078e-01,2.807221443603258315e-01,1.776543996080400589e+00
6.713426853707413500e+01,9.225616208222914283e-01,4.763246677926270302e-03,7.267513249978301004e-02,6.876614570459805842e-01
6.813627254509017916e+01,8.195633903402871345e-01,1.752749340304228798e-01,5.161675629290538199e-03,9.482595942970256653e-01
6.913827655310620912e+01,4.142426438879948658e-01,3.416342126557846970e-01,2.441231434562207703e-01,1.965972409468702775e+00
7.014028056112223908e+01,2.678827796187441268e-01,2.173295407730444495e-01,5.147876796082117012e-01,1.894241901390347094e+00
7.114228456913826903e+01,4.759150492026322232e-01,2.407214570687539468e-01,2.833634937286143574e-01,1.933747803656808317e+00
7.214428857715429899e+01,9.042133740781239659e-01,6.418696848959672130e-02,3.159965743227963891e-02,9.099675202019092968e-01
7.314629258517032895e+01,9.247295098735162089e-01,5.927779000806432386e-02,1.599270011842029646e-02,7.730550314610092899e-01
7.414829659318635890e+01,4.973690977377002165e-01,2.566695722672117652e-01,2.459613299950884902e-01,1.916630562805746951e+00
7.515030060120240307e+01,2.630122524446213972e-01,2.196246964907249688e-01,5.173630510646538561e-01,1.892612022097788227e+00
7.615230460921843303e+01,3.921606030468069992e-01,3.217247258204706806e-01,2.861146711327225978e-01,1.987131465734506053e+00
7.715430861723446299e+01,8.048417053917048536e-01,1.817605342958341919e-01,1.339776031246158426e-02,1.071331837398041831e+00
7.815631262525049294e+01,9.477638018190953639e-01,2.930489160516192449e-03,4.930570902038911019e-02,5.617863180586153415e-01
7.915831663326652290e+01,5.986352685017019004e-01,1.515365226500234308e-01,2.498282088482750851e-01,1.764971481470684500e+00
8.016032064128255286e+01,3.428348132368773671e-01,1.744565707959625511e-01,4.827086159671606924e-01,1.883113362585546735e+00
8.116232464929858281e+01,3.736971977130614242e-01,3.504433488885053127e-01,2.758594533984336516e-01,1.987759182409484016e+00
8.216432865731462698e+01,6.692247834756819280e-01,3.186844466528022113e-01,1.209076987151633947e-02,1.227678844636639344e+00
8.316633266533065694e+01,8.740849752417334528e-01,2.143165305205663521e-02,1.044833717062105261e-01,9.727874759015964212e-01
8.416833667334668689e+01,6.650909453768357738e-01,6.685082074610872171e-02,2.680582338770561290e-01,1.533921933553750838e+00
8.517034068136271685e+01,4.748671467227700282e-01,1.041011598628746593e-01,4.210316934143558121e-01,1.757667794500134217e+00
8.617234468937874681e+01,4.426789091672725385e-01,3.124776001073062970e-01,2.448434907254214976e-01,1.955493157019423833e+00
8.717434869739477676e+01,5.549179682517403345e-01,4.270962811802712089e-01,1.798575056798884519e-02,1.348755981588845687e+00
8.817635270541080672e+01,7.257265574220265192e-01,1.012166161690477573e-01,1.730568264089263619e-01,1.515530632665271105e+00
