time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
1.3000000000e+01,9.5583717157e-01,4.2194468208e-02,2.1257027595e-04,1.4750471555e-04,2.3245657556e-04,9.2662082616e-04,4.4920782596e-04,6.2965228905e-01,2.4007340543e-01,4.5853198251e+00
1.3500000000e+01,9.5276180522e-01,4.5121790270e-02,2.3421662574e-04,1.5936804488e-04,2.5144622022e-04,9.9155004046e-04,4.7982357550e-04,6.5271416921e-01,2.3759609645e-01,4.6071503599e+00
1.4000000000e+01,9.4954114918e-01,4.8188262805e-02,2.5562724537e-04,1.7255079605e-04,2.7035026501e-04,1.0604419442e-03,5.1161776672e-04,6.7588536849e-01,2.3552780663e-01,4.6307523808e+00
1.4500000000e+01,9.4591978964e-01,5.1628700133e-02,2.8210395796e-04,1.8803870826e-04,2.9156459652e-04,1.1435087291e-03,5.4629423461e-04,7.0148143360e-01,2.3407392826e-01,4.6567763088e+00
1.5000000000e+01,9.4278109005e-01,5.4611433448e-02,3.0563177563e-04,2.0223115239e-04,3.1126532627e-04,1.2098783765e-03,5.7846986721e-04,7.2305943723e-01,2.3246068600e-01,4.6802685977e+00
1.5500000000e+01,9.3944030568e-01,5.7793864129e-02,3.3150222101e-04,2.1588025835e-04,3.3167897371e-04,1.2752572227e-03,6.1151151699e-04,7.4495305853e-01,2.2946179697e-01,4.7101409528e+00
1.6000000000e+01,9.3514678601e-01,6.1887639674e-02,3.6301605360e-04,2.3361656958e-04,3.5787200118e-04,1.3631426107e-03,6.4792708383e-04,7.7203422592e-01,2.2816738952e-01,4.7298314513e+00
1.6500000000e+01,9.3140784837e-01,6.5453204528e-02,3.9242466055e-04,2.4972442808e-04,3.8165456830e-04,1.4351065093e-03,6.8003693783e-04,7.9484941445e-01,2.2677326695e-01,4.7483593551e+00
1.7000000000e+01,9.2739308337e-01,6.9299873334e-02,4.2343336086e-04,2.6484151543e-04,4.0534625675e-04,1.5015611303e-03,7.1186103200e-04,8.1800606724e-01,2.2339798742e-01,4.7777676959e+00
1.7500000000e+01,9.2348182976e-01,7.3021863273e-02,4.6109589831e-04,2.8311480625e-04,4.2945152985e-04,1.5771126843e-03,7.4553204311e-04,8.4114717276e-01,2.2172451301e-01,4.8007593653e+00
1.8000000000e+01,9.1909159914e-01,7.7214413081e-02,4.9929739039e-04,3.0171827555e-04,4.5653357379e-04,1.6595788942e-03,7.7685964028e-04,8.6562511923e-01,2.2032297373e-01,4.8214771910e+00
1.8500000000e+01,9.1455021290e-01,8.1531272333e-02,5.3902266829e-04,3.2130078384e-04,4.8976369889e-04,1.7522144967e-03,8.1621311742e-04,8.9107936244e-01,2.1822504642e-01,4.8439100088e+00
1.9000000000e+01,9.1022234350e-01,8.5641455827e-02,5.8305466488e-04,3.4400079254e-04,5.1904369427e-04,1.8363348139e-03,8.5376670822e-04,9.1528728594e-01,2.1615991817e-01,4.8694695212e+00
1.9500000000e+01,9.0618255689e-01,8.9499266250e-02,6.2444847425e-04,3.6299941451e-04,5.4613484390e-04,1.8966532649e-03,8.8794086374e-04,9.3643437471e-01,2.1274794790e-01,4.8881587178e+00
2.0000000000e+01,9.0203119326e-01,9.3424613455e-02,6.6531360333e-04,3.8593984141e-04,5.7406770043e-04,1.9925648041e-03,9.2630733602e-04,9.5878248241e-01,2.0956281429e-01,4.9068071794e+00
2.0500000000e+01,8.9791472456e-01,9.7340849652e-02,7.0660944342e-04,4.0692870725e-04,6.0484574956e-04,2.0638389525e-03,9.6220293355e-04,9.7977884702e-01,2.0769538636e-01,4.9181416135e+00
2.1000000000e+01,8.9381501119e-01,1.0122231652e-01,7.5484710220e-04,4.2749173647e-04,6.3464121762e-04,2.1450277209e-03,1.0006645070e-03,1.0008916845e+00,2.0492857821e-01,4.9280983993e+00
2.1500000000e+01,8.9005824749e-01,1.0476327696e-01,8.0680746497e-04,4.4779746168e-04,6.6329644678e-04,2.2296394340e-03,1.0309347432e-03,1.0204005360e+00,2.0262961352e-01,4.9359569567e+00
2.2000000000e+01,8.8505214298e-01,1.0954594879e-01,8.5843014967e-04,4.7068630372e-04,6.9494489595e-04,2.3096364754e-03,1.0682104089e-03,1.0433359207e+00,2.0000555351e-01,4.9428734398e+00
2.2500000000e+01,8.8060705890e-01,1.1379484724e-01,9.0654550055e-04,4.9055564673e-04,7.2279560717e-04,2.3784069008e-03,1.0997902013e-03,1.0632636291e+00,1.9831444906e-01,4.9543154819e+00
2.3000000000e+01,8.7670233225e-01,1.1749198579e-01,9.6349794354e-04,5.1011397916e-04,7.4704669408e-04,2.4569584207e-03,1.1280649258e-03,1.0815055183e+00,1.9544272854e-01,4.9595380729e+00
2.3500000000e+01,8.7172538109e-01,1.2224292024e-01,1.0185436606e-03,5.3437905658e-04,7.8338949870e-04,2.5312890579e-03,1.1640973901e-03,1.1032565777e+00,1.9345696905e-01,4.9634489990e+00
2.4000000000e+01,8.6763486851e-01,1.2609043013e-01,1.0784825477e-03,5.6138260656e-04,8.2233108072e-04,2.6187616712e-03,1.1937434501e-03,1.1229805085e+00,1.9179831656e-01,4.9685987587e+00
2.4500000000e+01,8.6446892990e-01,1.2907318492e-01,1.1241189387e-03,5.8257695218e-04,8.5608933112e-04,2.6774235145e-03,1.2176764495e-03,1.1378660494e+00,1.8870920480e-01,4.9706607196e+00
2.5000000000e+01,8.5975824541e-01,1.3353608105e-01,1.1889308448e-03,6.0680227458e-04,8.9209924807e-04,2.7599303566e-03,1.2579108196e-03,1.1584041666e+00,1.8621847908e-01,4.9768858212e+00
2.5500000000e+01,8.5428460127e-01,1.3877524610e-01,1.2497284483e-03,6.3283763647e-04,9.2718472176e-04,2.8407349435e-03,1.2896668831e-03,1.1799052234e+00,1.8517081657e-01,4.9755365991e+00
2.6000000000e+01,8.4949947686e-01,1.4333013766e-01,1.3173603261e-03,6.5942078267e-04,9.6278426057e-04,2.9119416576e-03,1.3188784569e-03,1.1990545656e+00,1.8206481710e-01,4.9712917861e+00
2.6500000000e+01,8.4509783864e-01,1.4750624417e-01,1.3892853233e-03,6.8340179692e-04,1.0072976035e-03,2.9657295664e-03,1.3502029055e-03,1.2173513736e+00,1.7928329787e-01,4.9697025826e+00
2.7000000000e+01,8.4118524186e-01,1.5114912862e-01,1.4711586737e-03,7.1460527170e-04,1.0525662937e-03,3.0456232082e-03,1.3816760745e-03,1.2358285039e+00,1.7689324157e-01,4.9674068225e+00
2.7500000000e+01,8.3708251494e-01,1.5498859244e-01,1.5514592743e-03,7.4639176617e-04,1.1024503931e-03,3.1151219783e-03,1.4134692068e-03,1.2540736149e+00,1.7450661052e-01,4.9643799970e+00
2.8000000000e+01,8.3148925710e-01,1.6031951254e-01,1.6259228140e-03,7.7781463718e-04,1.1493456499e-03,3.1863017664e-03,1.4518454955e-03,1.2750721257e+00,1.7163400371e-01,4.9615437685e+00
