time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
1.2000000000e+01,9.2804562425e-05,3.7788124112e-03,3.7039007795e-01,5.1424897459e-01,5.4066859009e-02,1.0268869923e-03,5.6395584491e-02,2.6011825938e+00,2.3637059005e-01,4.5757648181e+00
1.2500000000e+01,9.9996046743e-05,3.7838767483e-03,3.7100694730e-01,5.1383197285e-01,5.3925919742e-02,1.0140289994e-03,5.6337258317e-02,2.6007111218e+00,2.3327840697e-01,4.5964607960e+00
1.3000000000e+01,1.0776541130e-04,3.7886994312e-03,3.7414260361e-01,5.1113309198e-01,5.3479155746e-02,1.0076770936e-03,5.6341006723e-02,2.6006511781e+00,2.3053852924e-01,4.6150947112e+00
1.3500000000e+01,1.1581641325e-04,3.7718196812e-03,3.7751657062e-01,5.0791910617e-01,5.3584381277e-02,9.9902296085e-04,5.6093282884e-02,2.6011659891e+00,2.2823672144e-01,4.6372406659e+00
1.4000000000e+01,1.2466079723e-04,3.8020078905e-03,3.7734982724e-01,5.0835880756e-01,5.3429473470e-02,9.9621252607e-04,5.5939010513e-02,2.6018191884e+00,2.2636833056e-01,4.6593312087e+00
1.4500000000e+01,1.3225621172e-04,3.7730950586e-03,3.7649729218e-01,5.1120271406e-01,5.2685659202e-02,9.8739324989e-04,5.4721590036e-02,2.5900990919e+00,2.2467265381e-01,4.6936134357e+00
1.5000000000e+01,1.4043484116e-04,3.7683215498e-03,3.7577750000e-01,5.1308802461e-01,5.1926588553e-02,9.7377729586e-04,5.4325353154e-02,2.5836065656e+00,2.2208724921e-01,4.7119005456e+00
1.5500000000e+01,1.5073885395e-04,3.8150280735e-03,3.7610591570e-01,5.1289990116e-01,5.1831081788e-02,9.7623471207e-04,5.4221099716e-02,2.5847748566e+00,2.2066008039e-01,4.7309775059e+00
1.6000000000e+01,1.6044399826e-04,3.8696295872e-03,3.7590645174e-01,5.1396409802e-01,5.1836942629e-02,9.6899643352e-04,5.3293437592e-02,2.5824643422e+00,2.1958427635e-01,4.7638661557e+00
1.6500000000e+01,1.7073671406e-04,3.9028533344e-03,3.7706832471e-01,5.1369898649e-01,5.1609458483e-02,9.6568492930e-04,5.2583955344e-02,2.5803054994e+00,2.1845386955e-01,4.7904004053e+00
1.7000000000e+01,1.8151134640e-04,3.9461170840e-03,3.7830469406e-01,5.1345664707e-01,5.1160030257e-02,9.5668783724e-04,5.1994312349e-02,2.5766824586e+00,2.1735775246e-01,4.8110036967e+00
1.7500000000e+01,1.9084209441e-04,3.9469474960e-03,3.8139538173e-01,5.1194343643e-01,5.0263820581e-02,9.4669446342e-04,5.1312877199e-02,2.5697748025e+00,2.1518748870e-01,4.8312086887e+00
