metric,value
PCE,0.1882733522886984
ETR,0.8051448488963987
objective,0.4967091005925486
success,False
nfev,1736
nit,20
param_0,0.9836890062585856
param_1,668.4200374667248
param_2,97.90525394965651
param_3,0.9983167823594122
param_4,440.4460195921225
param_5,87.56660917863806
