time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,ipr,qfi,entropy
0.0000000000e+00,2.5113730951e-01,3.6654794036e-02,3.0025104879e-01,4.1534460816e-02,4.7211149457e-02,1.7945889472e-01,1.4375234267e-01,5.0732485919e+00,4.7306274428e+00,9.8798305306e+04,1.6578623772e-10
2.0000000000e+00,2.5244204965e-01,3.1239145577e-02,3.0470680431e-01,4.1841807572e-02,4.0333122816e-02,1.7667813354e-01,1.5275893653e-01,4.9482247425e+00,4.6408651974e+00,9.8821820485e+04,4.7317216293e-02
4.0000000000e+00,2.5296970108e-01,3.2754217295e-02,3.0679185653e-01,4.6190675137e-02,4.0481643668e-02,1.4857165995e-01,1.7224024633e-01,4.9493809377e+00,4.6576546038e+00,9.3919673065e+04,6.8819267701e-02
6.0000000000e+00,2.5029254556e-01,3.5120204327e-02,2.9657005985e-01,5.0961784504e-02,3.7432933307e-02,1.5012640686e-01,1.7949606560e-01,4.9393238157e+00,4.7485930742e+00,9.1823956784e+04,1.1099229440e-01
8.0000000000e+00,2.6265988524e-01,3.8786451043e-02,3.1020671275e-01,4.1830798252e-02,3.5459054682e-02,1.3881233970e-01,1.7224475832e-01,4.7719779112e+00,4.5731618489e+00,9.1122825230e+04,1.8363376502e-01
1.0000000000e+01,2.7184306491e-01,4.1518942273e-02,3.0599575492e-01,3.7716631467e-02,3.6830530497e-02,1.3616032492e-01,1.6993475101e-01,4.6698927975e+00,4.5567976060e+00,8.8134966786e+04,2.4335455801e-01
1.2000000000e+01,2.6373619278e-01,3.4737527256e-02,3.4469470299e-01,3.7923029839e-02,3.6894506855e-02,1.2338116297e-01,1.5863287731e-01,4.5569744746e+00,4.2961863858e+00,8.9793040378e+04,2.5368953386e-01
1.4000000000e+01,2.5861144200e-01,3.3169291130e-02,3.4035179931e-01,3.5047639039e-02,4.2805183823e-02,1.1281821253e-01,1.7719643217e-01,4.5588006905e+00,4.3288811617e+00,8.7597363006e+04,2.5423092704e-01
1.6000000000e+01,2.2556858496e-01,3.2683248497e-02,3.8706632390e-01,2.8934781752e-02,4.8341357862e-02,1.1091459228e-01,1.6649111075e-01,4.5106255330e+00,4.0822130677e+00,9.1356439274e+04,2.2178467524e-01
1.8000000000e+01,2.2281623047e-01,3.4195788015e-02,3.9667381643e-01,3.5020983375e-02,5.0073746876e-02,1.0581693474e-01,1.5540250009e-01,4.5301614485e+00,4.0445294402e+00,9.1779266258e+04,2.3319591186e-01
2.0000000000e+01,2.4673136964e-01,3.6683506259e-02,3.5313796987e-01,4.4321824025e-02,5.2793070230e-02,9.6922361508e-02,1.6940989846e-01,4.6594003674e+00,4.3521088578e+00,8.7640771087e+04,2.3194149239e-01
2.2000000000e+01,2.2863766358e-01,4.2759560590e-02,3.5971059572e-01,4.8219951671e-02,5.6772267628e-02,9.7935703357e-02,1.6596425745e-01,4.7295393214e+00,4.4212756873e+00,8.7580351641e+04,2.2990606572e-01
2.4000000000e+01,2.2678145909e-01,4.8875154274e-02,3.6561962117e-01,4.6450742503e-02,5.6359234182e-02,1.1021734513e-01,1.4569644365e-01,4.6260356068e+00,4.4207556799e+00,8.8890340266e+04,3.1468496775e-01
2.6000000000e+01,2.0132213567e-01,4.3661851047e-02,3.9246833886e-01,5.3549614885e-02,6.0043911820e-02,1.0809888449e-01,1.4085526323e-01,4.6248582121e+00,4.2649968231e+00,8.7713676615e+04,3.1077381354e-01
2.8000000000e+01,1.8426568191e-01,4.3257567461e-02,3.7490605431e-01,4.9675655746e-02,7.7289660883e-02,1.1142001292e-01,1.5918536676e-01,4.6549810618e+00,4.4928600846e+00,8.5926695021e+04,3.3646700327e-01
3.0000000000e+01,1.9329083064e-01,4.6179938764e-02,3.6143687389e-01,4.7283075112e-02,8.2853514828e-02,1.1379009336e-01,1.5516567341e-01,4.6106684385e+00,4.6241596037e+00,8.5590635500e+04,4.0009124593e-01
