site_index,fukui_f_plus,fukui_f_minus,fukui_f_zero,biodegradability_score
0,-2.312638e-01,0.000000e+00,-1.156319e-01,2.300000e-01
1,-3.538591e-01,0.000000e+00,-1.769295e-01,2.300000e-01
2,-1.330104e-01,0.000000e+00,-6.650519e-02,2.300000e-01
3,-1.487253e-01,0.000000e+00,-7.436263e-02,2.300000e-01
4,-1.331415e-01,0.000000e+00,-6.657073e-02,2.300000e-01
