molecule_name,biodegradability_score,b_index,pce,timestamp
pm6_derivative,7.20000000e-01,7.20000000e+01,1.50000000e-01,20260220_135740
y6_bo_derivative,5.80000000e-01,5.80000000e+01,1.50000000e-01,20260220_135740
