Time_fs,QFI,ETR
0.00000000e+00,3.23477600e+04,0
1.00000000e+01,3.25687474e+04,0
2.00000000e+01,3.12596885e+04,0
3.00000000e+01,3.10089399e+04,0
4.00000000e+01,2.44458854e+04,0
5.00000000e+01,2.39387394e+04,0
