,site,f_plus,f_zero,dual
0,0,-0.03630775275168241,-0.018153876375841205,-0.03630775275168241
1,1,-0.004194637097524101,-0.0020973185487620505,-0.004194637097524101
2,2,-0.047587375463323145,-0.023793687731661572,-0.047587375463323145
3,3,-0.10803718040996713,-0.05401859020498356,-0.10803718040996713
4,4,-0.31114890828232844,-0.15557445414116422,-0.31114890828232844
5,5,-0.24000132875043811,-0.12000066437521906,-0.24000132875043811
6,6,-0.25272281724473644,-0.12636140862236822,-0.25272281724473644
