site_index,fukui_f_plus,fukui_f_minus,fukui_f_zero,biodegradability_score
0,-2.268455e-01,0.000000e+00,-1.134228e-01,2.300000e-01
1,-2.372607e-01,0.000000e+00,-1.186303e-01,2.300000e-01
2,-1.945855e-01,0.000000e+00,-9.729275e-02,2.300000e-01
3,-1.448725e-01,0.000000e+00,-7.243624e-02,2.300000e-01
4,-1.964358e-01,0.000000e+00,-9.821790e-02,2.300000e-01
