site_index,fukui_f_plus,fukui_f_minus,fukui_f_zero,biodegradability_score
0,-2.310248e-01,0.000000e+00,-1.155124e-01,2.300000e-01
1,-2.935773e-01,0.000000e+00,-1.467887e-01,2.300000e-01
2,-2.184973e-01,0.000000e+00,-1.092487e-01,2.300000e-01
3,-9.431302e-02,0.000000e+00,-4.715651e-02,2.300000e-01
4,-1.625876e-01,0.000000e+00,-8.129379e-02,2.300000e-01
