time_fs,pop_1,pop_2,pop_3,coherence
5.400000000000000000e+01,5.787532597095377263e-01,4.119862378881411491e-01,9.260502402321102097e-03,1.172216787324492415e+00
5.600000000000000000e+01,5.426984090121800275e-01,4.476227510693701062e-01,9.678839918449757065e-03,1.143796468238754915e+00
5.800000000000000000e+01,5.097408344357957644e-01,4.793913312493091605e-01,1.086783431489518094e-02,1.116798928550565062e+00
6.000000000000000000e+01,4.741856851413293050e-01,5.132457719958973819e-01,1.256854286277342414e-02,1.156756956770251588e+00
6.200000000000000000e+01,4.491681220691519649e-01,5.377510953700046503e-01,1.308078256084346108e-02,1.095208423345575444e+00
6.400000000000000000e+01,4.029020179329956264e-01,5.842135832268551265e-01,1.288439884014939800e-02,1.060889073889418777e+00
6.600000000000000000e+01,3.646797550308403246e-01,6.222298996879894739e-01,1.309034528117014942e-02,9.703815627319587467e-01
6.800000000000000000e+01,3.308439578118397284e-01,6.566088720767143672e-01,1.254717011144605016e-02,9.258585676019948085e-01
7.000000000000000000e+01,3.307695150419648900e-01,6.540358224296615175e-01,1.519466252837371398e-02,8.945836752040701167e-01
7.200000000000000000e+01,2.803412732624945836e-01,7.026000735199375846e-01,1.705865321756786651e-02,8.185239516051419084e-01
7.400000000000000000e+01,2.404238620715371533e-01,7.424901963030063889e-01,1.708594162545658615e-02,8.252377318647692306e-01
7.600000000000000000e+01,2.102866897688061287e-01,7.677179925412677131e-01,2.199531768992614086e-02,8.330575845898573473e-01
7.800000000000000000e+01,1.875550424770312530e-01,7.895143799540973450e-01,2.293057756887147136e-02,8.255571390073288551e-01
8.000000000000000000e+01,1.789400538643659833e-01,8.012736233450439283e-01,1.978632279059014051e-02,7.623113497084741397e-01
8.200000000000000000e+01,1.388993196247525486e-01,8.431304488169417688e-01,1.797023155830577631e-02,7.131851049277231347e-01
8.400000000000000000e+01,1.445562896133951447e-01,8.381992835453723201e-01,1.724442684123252828e-02,7.081544651035505122e-01
8.600000000000000000e+01,1.539278851592427999e-01,8.264347161171553546e-01,1.963739872360170668e-02,7.262446650638848533e-01
8.800000000000000000e+01,1.440647989904101922e-01,8.377302552323016016e-01,1.820494577728837271e-02,6.583661875126671781e-01
9.000000000000000000e+01,1.562918862362548678e-01,8.283660511715795760e-01,1.534206259216557185e-02,6.548377981446658058e-01
9.200000000000000000e+01,1.478144691849406778e-01,8.384125398645829730e-01,1.377299095047639782e-02,6.166702283141798357e-01
9.400000000000000000e+01,1.556137347348695021e-01,8.316534695185922033e-01,1.273279574653826164e-02,6.103358008027259807e-01
9.600000000000000000e+01,1.940370511679716248e-01,7.925816382512682612e-01,1.338131058076007240e-02,6.517405559157793959e-01
9.800000000000000000e+01,2.232843820095640752e-01,7.645252707238818779e-01,1.219034726655410586e-02,6.221772434500649762e-01
