time_fs,pop_site1_L9,pop_site2_L9,pop_site1_L10,pop_site2_L10,pop_site1_L11,pop_site2_L11
0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,0.9999775284476151,2.2471552384953055e-05,0.9999775284476151,2.2471552384953055e-05,0.9999775284476151,2.2471552384953055e-05
1.0,0.9999087469687383,9.125303126145687e-05,0.9999087469687383,9.125303126145687e-05,0.9999087469687383,9.125303126145687e-05
1.5,0.9997914800282386,0.00020851997176110979,0.9997914800282386,0.00020851997176110979,0.9997914800282386,0.00020851997176110979
2.0,0.9996238000660315,0.000376199933968343,0.9996238000660315,0.000376199933968343,0.9996238000660315,0.000376199933968343
2.5,0.999406528652115,0.000593471347885246,0.999406528652115,0.000593471347885246,0.999406528652115,0.000593471347885246
3.0,0.9991412371194553,0.0008587628805448933,0.9991412371194553,0.0008587628805448933,0.9991412371194553,0.0008587628805448933
3.5,0.9988218593298024,0.0011781406701975455,0.9988218593298024,0.0011781406701975455,0.9988218593298024,0.0011781406701975455
4.0,0.9984482222257169,0.0015517777742829863,0.9984482222257169,0.0015517777742829863,0.9984482222257169,0.0015517777742829863
4.5,0.9980225391547788,0.001977460845221008,0.9980225391547788,0.001977460845221008,0.9980225391547788,0.001977460845221008
5.0,0.9975429318409601,0.0024570681590397564,0.9975429318409601,0.0024570681590397564,0.9975429318409601,0.0024570681590397564
5.5,0.9969996005211853,0.0030003994788151108,0.9969996005211853,0.0030003994788151108,0.9969996005211853,0.0030003994788151108
6.0,0.9963970137043325,0.0036029862956677887,0.9963970137043325,0.0036029862956677887,0.9963970137043325,0.0036029862956677887
6.5,0.9957337916194227,0.004266208380577277,0.9957337916194227,0.004266208380577277,0.9957337916194227,0.004266208380577277
7.0,0.9950050377101365,0.0049949622898634366,0.9950050377101365,0.0049949622898634366,0.9950050377101365,0.0049949622898634366
7.5,0.9942160557602617,0.005783944239738248,0.9942160557602617,0.005783944239738248,0.9942160557602617,0.005783944239738248
8.0,0.9933434601409834,0.006656539859016547,0.9933434601409834,0.006656539859016547,0.9933434601409834,0.006656539859016547
8.5,0.9923857553879278,0.0076142446120724665,0.9923857553879278,0.0076142446120724665,0.9923857553879278,0.0076142446120724665
9.0,0.9913538981627605,0.008646101837239396,0.9913538981627605,0.008646101837239396,0.9913538981627605,0.008646101837239396
9.5,0.990248212088451,0.009751787911549256,0.990248212088451,0.009751787911549256,0.990248212088451,0.009751787911549256
10.0,0.9890652158716876,0.010934784128312433,0.9890652158716876,0.010934784128312433,0.9890652158716876,0.010934784128312433
10.5,0.9878193253017301,0.01218067469826976,0.9878193253017301,0.01218067469826976,0.9878193253017301,0.01218067469826976
11.0,0.9865211422978187,0.013478857702180906,0.9865211422978187,0.013478857702180906,0.9865211422978187,0.013478857702180906
11.5,0.985127689732446,0.01487231026755404,0.985127689732446,0.01487231026755404,0.985127689732446,0.01487231026755404
12.0,0.9836685163902024,0.01633148360979776,0.9836685163902024,0.01633148360979776,0.9836685163902024,0.01633148360979776
12.5,0.982126882510327,0.01787311748967303,0.982126882510327,0.01787311748967303,0.982126882510327,0.01787311748967303
13.0,0.9805027501246332,0.019497249875366853,0.9805027501246332,0.019497249875366853,0.9805027501246332,0.019497249875366853
13.5,0.9788441586767017,0.02115584132329828,0.9788441586767017,0.02115584132329828,0.9788441586767017,0.02115584132329828
14.0,0.977089413462373,0.02291058653762658,0.977089413462373,0.02291058653762658,0.977089413462373,0.02291058653762658
14.5,0.9752395085791757,0.0247604914208243,0.9752395085791757,0.0247604914208243,0.9752395085791757,0.0247604914208243
15.0,0.973220140978267,0.026779859021733052,0.973220140978267,0.026779859021733052,0.973220140978267,0.026779859021733052
15.5,0.9711064488550919,0.02889355114490808,0.9711064488550919,0.02889355114490808,0.9711064488550919,0.02889355114490808
16.0,0.9688771442058932,0.031122855794106934,0.9688771442058932,0.031122855794106934,0.9688771442058932,0.031122855794106934
16.5,0.9665762914020225,0.03342370859797773,0.9665762914020225,0.03342370859797773,0.9665762914020225,0.03342370859797773
17.0,0.9642144581361769,0.03578554186382312,0.9642144581361769,0.03578554186382312,0.9642144581361769,0.03578554186382312
17.5,0.9617221949788229,0.03827780502117691,0.9617221949788229,0.03827780502117691,0.9617221949788229,0.03827780502117691
18.0,0.9590653759552837,0.0409346240447163,0.9590653759552837,0.0409346240447163,0.9590653759552837,0.0409346240447163
18.5,0.9563545152044981,0.043645484795501927,0.9563545152044981,0.043645484795501927,0.9563545152044981,0.043645484795501927
19.0,0.9535640175771048,0.046435982422895414,0.9535640175771048,0.046435982422895414,0.9535640175771048,0.046435982422895414
19.5,0.9506051989748382,0.04939480102516195,0.9506051989748382,0.04939480102516195,0.9506051989748382,0.04939480102516195
20.0,0.9475226545927727,0.05247734540722743,0.9475226545927727,0.05247734540722743,0.9475226545927727,0.05247734540722743
20.5,0.9442688586314436,0.05573114136855629,0.9442688586314436,0.05573114136855629,0.9442688586314436,0.05573114136855629
21.0,0.9410995406954302,0.058900459304569844,0.9410995406954302,0.058900459304569844,0.9410995406954302,0.058900459304569844
21.5,0.9378253562232081,0.0621746437767919,0.9378253562232081,0.0621746437767919,0.9378253562232081,0.0621746437767919
22.0,0.9342321752707048,0.06576782472929513,0.9342321752707048,0.06576782472929513,0.9342321752707048,0.06576782472929513
22.5,0.9305363851608722,0.06946361483912791,0.9305363851608722,0.06946361483912791,0.9305363851608722,0.06946361483912791
23.0,0.9266956695981602,0.07330433040183976,0.9266956695981602,0.07330433040183976,0.9266956695981602,0.07330433040183976
23.5,0.9227110855940694,0.07728891440593057,0.9227110855940694,0.07728891440593057,0.9227110855940694,0.07728891440593057
24.0,0.9185876430370064,0.08141235696299366,0.9185876430370064,0.08141235696299366,0.9185876430370064,0.08141235696299366
24.5,0.9142751551818924,0.08572484481810762,0.9142751551818924,0.08572484481810762,0.9142751551818924,0.08572484481810762
25.0,0.9097902043388225,0.09020979566117779,0.9097902043388225,0.09020979566117779,0.9097902043388225,0.09020979566117779
25.5,0.9052263755779937,0.09477362442200643,0.9052263755779937,0.09477362442200643,0.9052263755779937,0.09477362442200643
26.0,0.9006687645735323,0.09933123542646749,0.9006687645735323,0.09933123542646749,0.9006687645735323,0.09933123542646749
26.5,0.8961603242391605,0.1038396757608395,0.8961603242391605,0.1038396757608395,0.8961603242391605,0.1038396757608395
27.0,0.8916336047866192,0.10836639521338096,0.8916336047866192,0.10836639521338096,0.8916336047866192,0.10836639521338096
27.5,0.8869463002247354,0.11305369977526447,0.8869463002247354,0.11305369977526447,0.8869463002247354,0.11305369977526447
28.0,0.8821936806249504,0.11780631937504975,0.8821936806249504,0.11780631937504975,0.8821936806249504,0.11780631937504975
28.5,0.8772267171522841,0.12277328284771584,0.8772267171522841,0.12277328284771584,0.8772267171522841,0.12277328284771584
29.0,0.8715851282274492,0.12841487177255073,0.8715851282274492,0.12841487177255073,0.8715851282274492,0.12841487177255073
29.5,0.8652494546731572,0.13475054532684275,0.8652494546731572,0.13475054532684275,0.8652494546731572,0.13475054532684275
30.0,0.858632108383796,0.14136789161620406,0.858632108383796,0.14136789161620406,0.858632108383796,0.14136789161620406
30.5,0.852099779140636,0.1479002208593644,0.852099779140636,0.1479002208593644,0.852099779140636,0.1479002208593644
31.0,0.8454773970428702,0.15452260295713033,0.8454773970428702,0.15452260295713033,0.8454773970428702,0.15452260295713033
31.5,0.8388301672126336,0.1611698327873665,0.8388301672126336,0.1611698327873665,0.8388301672126336,0.1611698327873665
32.0,0.8322866446491702,0.16771335535083,0.8322866446491702,0.16771335535083,0.8322866446491702,0.16771335535083
32.5,0.8259141104502091,0.17408588954979082,0.8259141104502091,0.17408588954979082,0.8259141104502091,0.17408588954979082
33.0,0.8194673738523897,0.18053262614761026,0.8194673738523897,0.18053262614761026,0.8194673738523897,0.18053262614761026
33.5,0.8133163577927008,0.18668364220729916,0.8133163577927008,0.18668364220729916,0.8133163577927008,0.18668364220729916
34.0,0.8073406913293316,0.19265930867066833,0.8073406913293316,0.19265930867066833,0.8073406913293316,0.19265930867066833
34.5,0.8018715039884818,0.19812849601151813,0.8018715039884818,0.19812849601151813,0.8018715039884818,0.19812849601151813
35.0,0.7963456817516337,0.2036543182483661,0.7963456817516339,0.20365431824836616,0.7963456817516339,0.20365431824836616
35.5,0.791025287141486,0.20897471285851377,0.791025287141486,0.2089747128585137,0.791025287141486,0.2089747128585137
36.0,0.7854892471365958,0.21451075286340415,0.7854892471365963,0.2145107528634042,0.7854892471365963,0.2145107528634042
36.5,0.7796437608564247,0.2203562391435757,0.7796437608564245,0.22035623914357552,0.7796437608564245,0.22035623914357552
37.0,0.7734751009843777,0.22652489901562273,0.7734751009843774,0.2265248990156226,0.7734751009843774,0.2265248990156226
37.5,0.7675677055047861,0.23243229449521374,0.7675677055047861,0.2324322944952137,0.7675677055047861,0.2324322944952137
38.0,0.7617259129832019,0.23827408701679773,0.7617259129832025,0.23827408701679778,0.7617259129832025,0.23827408701679778
38.5,0.7560337287182034,0.24396627128179685,0.7560337287182034,0.24396627128179685,0.7560337287182034,0.24396627128179685
39.0,0.7504471258535006,0.24955287414649915,0.7504471258535009,0.24955287414649927,0.7504471258535009,0.24955287414649927
39.5,0.7449447782023033,0.2550552217976969,0.7449447782023032,0.2550552217976968,0.7449447782023032,0.2550552217976968
40.0,0.739825592991761,0.26017440700823924,0.7398255929917605,0.26017440700823924,0.7398255929917605,0.26017440700823924
40.5,0.7350683515359445,0.26493164846405526,0.7350683515359445,0.26493164846405537,0.7350683515359445,0.26493164846405537
41.0,0.7303344582957442,0.26966554170425566,0.7303344582957442,0.2696655417042558,0.7303344582957442,0.2696655417042558
41.5,0.725835690267152,0.2741643097328476,0.725835690267152,0.2741643097328479,0.725835690267152,0.2741643097328479
42.0,0.7217326127223064,0.27826738727769346,0.7217326127223064,0.27826738727769373,0.7217326127223064,0.27826738727769373
42.5,0.7175998780125783,0.28240012198742187,0.7175998780125777,0.2824001219874221,0.7175998780125777,0.2824001219874221
43.0,0.7135866834492184,0.2864133165507814,0.7135866834492178,0.2864133165507819,0.7135866834492178,0.2864133165507819
43.5,0.7094430387490739,0.2905569612509258,0.7094430387490734,0.2905569612509264,0.7094430387490734,0.2905569612509264
44.0,0.7053295634149082,0.29467043658509195,0.7053295634149073,0.29467043658509257,0.7053295634149073,0.29467043658509257
44.5,0.7011152417336036,0.2988847582663967,0.7011152417336024,0.29888475826639743,0.7011152417336024,0.29888475826639743
45.0,0.696618368669554,0.3033816313304465,0.6966183686695525,0.3033816313304473,0.6966183686695525,0.3033816313304473
45.5,0.6918075564686118,0.3081924435313883,0.6918075564686109,0.3081924435313895,0.6918075564686109,0.3081924435313895
46.0,0.6862236892268524,0.31377631077314744,0.6862236892268511,0.31377631077314894,0.6862236892268507,0.31377631077314877
46.5,0.6808346917604706,0.3191653082395291,0.6808346917604692,0.3191653082395309,0.6808346917604692,0.3191653082395309
47.0,0.6760532452989004,0.32394675470109985,0.6760532452988984,0.3239467547011016,0.6760532452988984,0.3239467547011016
47.5,0.6715199816466526,0.32848001835334734,0.6715199816466505,0.3284800183533495,0.6715199816466505,0.3284800183533494
48.0,0.6667487942260399,0.33325120577396,0.6667487942260374,0.33325120577396244,0.6667487942260378,0.33325120577396244
48.5,0.6622264649791715,0.33777353502082863,0.662226464979169,0.33777353502083146,0.6622264649791686,0.3377735350208311
49.0,0.6577952323115311,0.3422047676884688,0.6577952323115278,0.3422047676884721,0.657795232311528,0.3422047676884718
49.5,0.6542924433709604,0.3457075566290394,0.6542924433709566,0.34570755662904307,0.6542924433709573,0.34570755662904296
