time_fs,pop_site1_filtered,pop_site2_filtered,pop_site1_broadband,pop_site2_broadband,coherence_filtered,coherence_broadband
0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.5,0.9999778507589425,2.2149241057595554e-05,0.9999778507589425,2.2149241057595554e-05,0.009412370616729317,0.009412370616729317
1.0,0.9999115054409503,8.849455904999385e-05,0.9999115054409503,8.849455904999385e-05,0.018812501020272696,0.018812501020272696
1.5,0.999801108470612,0.0001988915293886037,0.999801108470612,0.0001988915293886037,0.028199733204882303,0.028199733204882303
2.0,0.9996468723812356,0.0003531276187647022,0.9996468723812356,0.0003531276187647022,0.03756912542970843,0.03756912542970843
2.5,0.9994489396394792,0.0005510603605209386,0.9994489396394792,0.0005510603605209386,0.046921805884640753,0.046921805884640753
3.0,0.99920768550728,0.0007923144927204018,0.99920768550728,0.0007923144927204018,0.05624878788609191,0.05624878788609191
3.5,0.9989233542789023,0.0010766457210973745,0.9989233542789023,0.0010766457210973745,0.06554906764264601,0.06554906764264601
4.0,0.9985962412078621,0.0014037587921377768,0.9985962412078621,0.0014037587921377768,0.07482038395922258,0.07482038395922258
4.5,0.9982267412123456,0.0017732587876542233,0.9982267412123456,0.0017732587876542233,0.0840587198676068,0.0840587198676068
5.0,0.9978156604918424,0.0021843395081577173,0.9978156604918424,0.0021843395081577173,0.09325175311207064,0.09325175311207064
5.5,0.9973629668614514,0.0026370331385486673,0.9973629668614514,0.0026370331385486673,0.10240695932513237,0.10240695932513237
6.0,0.9968692954837043,0.003130704516295517,0.9968692954837043,0.003130704516295517,0.11151910192095608,0.11151910192095608
6.5,0.9963342362053198,0.003665763794679826,0.9963342362053198,0.003665763794679826,0.12059995950869347,0.12059995950869347
7.0,0.9957586083315164,0.004241391668484034,0.9957586083315164,0.004241391668484034,0.1296380041505481,0.1296380041505481
7.5,0.9951416790616463,0.004858320938354084,0.9951416790616463,0.004858320938354084,0.13864735477665502,0.13864735477665502
8.0,0.994485349832747,0.005514650167252887,0.994485349832747,0.005514650167252887,0.14760329490054144,0.14760329490054144
8.5,0.9937876246670627,0.0062123753329371865,0.9937876246670627,0.0062123753329371865,0.15653595387172592,0.15653595387172592
9.0,0.9930513215877533,0.006948678412246311,0.9930513215877533,0.006948678412246311,0.16540998262121087,0.16540998262121087
9.5,0.9922758214224204,0.007724178577579356,0.9922758214224204,0.007724178577579356,0.1742381707136456,0.1742381707136456
10.0,0.9914594126950255,0.008540587304975266,0.9914594126950255,0.008540587304975266,0.18304023284756307,0.18304023284756307
10.5,0.9906053559101502,0.00939464408984951,0.9906053559101502,0.00939464408984951,0.1917842720708345,0.1917842720708345
11.0,0.9897138224640741,0.010286177535925931,0.9897138224640741,0.010286177535925931,0.2004713882045201,0.2004713882045201
11.5,0.9887890270666098,0.01121097293338993,0.9887890270666098,0.01121097293338993,0.20906431329439465,0.20906431329439465
12.0,0.9878316706771244,0.012168329322875607,0.9878316706771244,0.012168329322875607,0.2175670526594001,0.2175670526594001
12.5,0.9868355760242262,0.013164423975773805,0.9868355760242262,0.013164423975773805,0.22603792703428374,0.22603792703428374
13.0,0.9858056585139882,0.01419434148601126,0.9858056585139882,0.01419434148601126,0.23443800232788586,0.23443800232788586
13.5,0.9847412472741864,0.015258752725813542,0.9847412472741864,0.015258752725813542,0.2427757620931201,0.2427757620931201
14.0,0.9836413528630579,0.01635864713694229,0.9836413528630579,0.01635864713694229,0.2510601659761611,0.2510601659761611
14.5,0.9825080489507687,0.017491951049231288,0.9825080489507687,0.017491951049231288,0.25927324265353247,0.25927324265353247
15.0,0.981340203945061,0.01865979605493919,0.981340203945061,0.01865979605493919,0.26742598920476124,0.26742598920476124
15.5,0.9801385380382897,0.019861461961710427,0.9801385380382897,0.019861461961710427,0.2755137886616019,0.2755137886616019
16.0,0.9789056424254102,0.02109435757458972,0.9789056424254102,0.02109435757458972,0.2835269341410786,0.2835269341410786
16.5,0.9776472312627947,0.02235276873720512,0.9776472312627947,0.02235276873720512,0.2914340270202039,0.2914340270202039
17.0,0.9763576633833864,0.023642336616613774,0.9763576633833864,0.023642336616613774,0.2992666626479572,0.2992666626479572
17.5,0.9750375020874267,0.024962497912572993,0.9750375020874267,0.024962497912572993,0.30702554140620636,0.30702554140620636
18.0,0.9736920936911219,0.026307906308878207,0.9736920936911219,0.026307906308878207,0.31469580851548523,0.31469580851548523
18.5,0.972314679140321,0.027685320859678886,0.972314679140321,0.027685320859678886,0.3223000971245505,0.3223000971245505
19.0,0.9709160823688979,0.029083917631102008,0.9709160823688979,0.029083917631102008,0.32979666834339516,0.32979666834339516
19.5,0.9694903212560455,0.03050967874395419,0.9694903212560455,0.03050967874395419,0.33721217409216825,0.33721217409216825
20.0,0.9680399357341316,0.03196006426586842,0.9680399357341316,0.03196006426586842,0.3445411092803875,0.3445411092803875
20.5,0.9665709991315136,0.033429000868486415,0.9665709991315136,0.033429000868486415,0.3517502045218995,0.3517502045218995
21.0,0.9650789297308592,0.03492107026914124,0.9650789297308592,0.03492107026914124,0.35886819164395833,0.35886819164395833
21.5,0.9635619104840706,0.03643808951592917,0.9635619104840706,0.03643808951592917,0.3658902785799542,0.3658902785799542
22.0,0.9620047417631202,0.03799525823687936,0.9620047417631202,0.03799525823687936,0.37290345304499306,0.37290345304499306
22.5,0.9604215855524777,0.03957841444752217,0.9604215855524777,0.03957841444752217,0.37983724016132264,0.37983724016132264
23.0,0.9588214206120341,0.04117857938796612,0.9588214206120341,0.04117857938796612,0.3866539879934448,0.3866539879934448
23.5,0.9571953688139884,0.04280463118601171,0.9571953688139884,0.04280463118601171,0.3934129745960785,0.3934129745960785
24.0,0.9555586093706281,0.04444139062937194,0.9555586093706281,0.04444139062937194,0.40003123712267147,0.40003123712267147
24.5,0.9538956293650263,0.04610437063497415,0.9538956293650263,0.04610437063497415,0.4065677075907649,0.4065677075907649
25.0,0.952201900391684,0.04779809960831587,0.952201900391684,0.04779809960831587,0.41303666175611725,0.41303666175611725
25.5,0.9504733067404856,0.04952669325951482,0.9504733067404856,0.04952669325951482,0.41946876224983265,0.41946876224983265
26.0,0.9487105863726399,0.05128941362735968,0.9487105863726399,0.05128941362735968,0.4258533051028108,0.4258533051028108
26.5,0.9469390675398692,0.05306093246013023,0.9469390675398692,0.05306093246013023,0.432131009981388,0.432131009981388
27.0,0.9451510064288635,0.05484899357113607,0.9451510064288635,0.05484899357113607,0.4383243244007859,0.4383243244007859
27.5,0.9433428224333699,0.056657177566630405,0.9433428224333699,0.056657177566630405,0.4444355321511221,0.4444355321511221
28.0,0.941511095313589,0.0584889046864115,0.941511095313589,0.0584889046864115,0.450479615940848,0.450479615940848
28.5,0.9396522640840291,0.060347735915971416,0.9396522640840291,0.060347735915971416,0.4564478208537466,0.4564478208537466
29.0,0.9377537652871861,0.062246234712814,0.9377537652871861,0.062246234712814,0.4623724621321799,0.4623724621321799
29.5,0.9358358597813861,0.06416414021861414,0.9358358597813861,0.06416414021861414,0.4682402950501951,0.4682402950501951
30.0,0.9338925392215802,0.06610746077841982,0.9338925392215802,0.06610746077841982,0.4740343359643768,0.4740343359643768
30.5,0.9319289136819711,0.06807108631802898,0.9319289136819711,0.06807108631802898,0.4797450710907553,0.4797450710907553
31.0,0.9299414924994952,0.07005850750050507,0.9299414924994952,0.07005850750050507,0.4853753579801365,0.4853753579801365
